Date,Open,High,Low,Close,Adj Close,Volume
2018-03-07,207.699997,209.149994,203.699997,205.000000,205.000000,68235
2018-03-08,206.500000,209.949997,202.500000,208.550003,208.550003,91357
2018-03-09,209.899994,212.000000,206.000000,209.399994,209.399994,100397
2018-03-12,211.250000,214.500000,210.500000,213.050003,213.050003,79389
2018-03-13,214.800003,216.000000,212.600006,213.899994,213.899994,46515
2018-03-14,213.000000,215.449997,209.449997,214.300003,214.300003,41933
2018-03-15,212.000000,219.699997,212.000000,217.100006,217.100006,424664
2018-03-16,218.500000,219.500000,213.000000,213.350006,213.350006,63926
2018-03-19,213.500000,214.050003,209.000000,209.750000,209.750000,69343
2018-03-20,209.899994,213.250000,209.449997,211.800003,211.800003,26443
2018-03-21,213.050003,218.699997,212.449997,216.800003,216.800003,62753
2018-03-22,219.000000,219.000000,215.500000,216.949997,216.949997,110094
2018-03-23,215.000000,217.500000,213.449997,216.000000,216.000000,73104
2018-03-26,215.699997,223.899994,215.649994,222.550003,222.550003,191875
2018-03-27,226.800003,226.800003,220.000000,220.750000,220.750000,87819
2018-03-28,222.050003,223.199997,217.199997,221.949997,221.949997,69100
2018-04-02,222.699997,230.000000,222.699997,229.100006,229.100006,100549
2018-04-03,227.100006,234.399994,227.000000,232.800003,232.800003,198351
2018-04-04,235.000000,236.250000,229.850006,230.399994,230.399994,145187
2018-04-05,232.949997,240.000000,232.199997,236.050003,236.050003,121299
2018-04-06,237.800003,239.399994,234.949997,238.949997,238.949997,93091
2018-04-09,239.899994,241.149994,236.600006,237.850006,237.850006,63873
2018-04-10,239.000000,239.000000,232.500000,235.899994,235.899994,59397
2018-04-11,235.899994,243.750000,234.550003,241.000000,241.000000,98151
2018-04-12,241.899994,242.449997,236.300003,237.550003,237.550003,75709
2018-04-13,237.149994,242.399994,237.149994,240.800003,240.800003,74677
2018-04-16,240.800003,244.050003,238.699997,243.500000,243.500000,65214
2018-04-17,243.500000,243.949997,240.350006,241.949997,241.949997,89870
2018-04-18,243.899994,246.649994,240.800003,242.550003,242.550003,208074
2018-04-19,243.449997,245.300003,241.000000,243.850006,243.850006,97784
2018-04-20,238.600006,244.300003,238.600006,242.399994,242.399994,95421
2018-04-23,245.000000,246.050003,242.399994,244.699997,244.699997,96873
2018-04-24,245.000000,249.449997,241.199997,241.800003,241.800003,84012
2018-04-25,242.899994,244.899994,239.600006,244.300003,244.300003,207489
2018-04-26,244.000000,246.300003,242.100006,243.750000,243.750000,68009
2018-04-27,244.100006,251.350006,243.199997,248.149994,248.149994,271500
2018-04-30,250.000000,251.899994,246.750000,247.800003,247.800003,72212
2018-05-02,247.000000,253.399994,246.149994,248.500000,248.500000,130894
2018-05-03,250.000000,250.699997,245.000000,247.649994,247.649994,77418
2018-05-04,247.250000,250.300003,247.000000,248.600006,248.600006,38061
2018-05-07,249.050003,268.500000,242.449997,262.149994,262.149994,787289
2018-05-08,262.000000,270.399994,256.799988,267.750000,267.750000,920309
2018-05-09,266.000000,268.450012,260.500000,261.299988,261.299988,85615
2018-05-10,262.000000,265.000000,256.149994,259.549988,259.549988,82132
2018-05-11,259.950012,263.899994,257.250000,261.600006,261.600006,152842
2018-05-14,262.000000,263.500000,257.649994,258.649994,258.649994,60107
2018-05-15,258.000000,262.700012,249.949997,255.500000,255.500000,76518
2018-05-16,256.100006,257.700012,252.850006,255.800003,255.800003,102260
2018-05-17,256.000000,260.799988,256.000000,258.450012,258.450012,66918
2018-05-18,258.450012,259.600006,253.449997,253.899994,253.899994,36880
2018-05-21,254.000000,255.000000,245.100006,246.600006,246.600006,61388
2018-05-22,245.199997,249.199997,244.300003,248.500000,248.500000,54177
2018-05-23,248.000000,252.699997,246.800003,248.649994,248.649994,33869
2018-05-24,249.100006,251.850006,242.000000,243.750000,243.750000,66039
2018-05-25,243.750000,259.399994,243.750000,258.000000,258.000000,126989
2018-05-28,259.000000,263.549988,255.550003,261.049988,261.049988,82977
2018-05-29,260.850006,263.399994,257.000000,257.600006,257.600006,44273
2018-05-30,255.000000,264.250000,254.449997,262.950012,262.950012,43810
2018-05-31,264.000000,264.899994,258.299988,259.600006,259.600006,55213
